feature,val,precision,recall,fbeta
workclass,Private,0.8457888493475683,0.7122877122877123,0.7733188720173535
workclass,State-gov,0.7808219178082192,0.7808219178082192,0.7808219178082192
workclass,Self-emp-not-inc,0.8403361344537815,0.6369426751592356,0.7246376811594202
workclass,Self-emp-inc,0.8346456692913385,0.8983050847457628,0.8653061224489795
workclass,Federal-gov,0.782051282051282,0.8714285714285714,0.8243243243243245
workclass,Local-gov,0.8272727272727273,0.8272727272727273,0.8272727272727273
workclass,?,0.8260869565217391,0.4523809523809524,0.5846153846153845
workclass,Without-pay,1.0,1.0,1.0
education,Some-college,0.8189655172413793,0.6859205776173285,0.7465618860510805
education,HS-grad,0.872093023255814,0.43478260869565216,0.5802707930367506
education,Bachelors,0.811965811965812,0.8444444444444444,0.8278867102396514
education,Masters,0.8636363636363636,0.9178743961352657,0.8899297423887588
education,Assoc-acdm,0.7872340425531915,0.7872340425531915,0.7872340425531915
education,7th-8th,1.0,0.16666666666666666,0.2857142857142857
education,11th,1.0,0.45454545454545453,0.625
education,Assoc-voc,0.7818181818181819,0.6825396825396826,0.7288135593220338
education,Prof-school,0.8829787234042553,0.9880952380952381,0.9325842696629214
education,9th,1.0,0.6666666666666666,0.8
education,5th-6th,1.0,0.5,0.6666666666666666
education,10th,1.0,0.4166666666666667,0.5882352941176471
education,Doctorate,0.8382352941176471,1.0,0.9119999999999999
education,12th,1.0,0.4,0.5714285714285715
education,1st-4th,1.0,1.0,1.0
education,Preschool,1.0,1.0,1.0
marital-status,Divorced,0.9649122807017544,0.5339805825242718,0.6874999999999999
marital-status,Married-civ-spouse,0.8238172920065253,0.7674772036474165,0.7946498819826907
marital-status,Never-married,0.875,0.5436893203883495,0.6706586826347306
marital-status,Separated,1.0,0.5789473684210527,0.7333333333333334
marital-status,Widowed,1.0,0.42105263157894735,0.5925925925925926
marital-status,Married-spouse-absent,1.0,0.5,0.6666666666666666
marital-status,Married-AF-spouse,1.0,1.0,1.0
occupation,Adm-clerical,0.7792207792207793,0.625,0.6936416184971098
occupation,Exec-managerial,0.8414634146341463,0.8690176322418136,0.8550185873605948
occupation,Machine-op-inspct,1.0,0.3829787234042553,0.5538461538461539
occupation,Craft-repair,0.831858407079646,0.5193370165745856,0.6394557823129252
occupation,Prof-specialty,0.8260869565217391,0.8724489795918368,0.8486352357320099
occupation,Sales,0.8238636363636364,0.7552083333333334,0.7880434782608695
occupation,Handlers-cleaners,1.0,0.4166666666666667,0.5882352941176471
occupation,Other-service,1.0,0.3076923076923077,0.47058823529411764
occupation,Protective-serv,0.8181818181818182,0.6428571428571429,0.7200000000000001
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Transport-moving,0.90625,0.453125,0.6041666666666666
occupation,?,0.8260869565217391,0.4523809523809524,0.5846153846153845
occupation,Farming-fishing,0.9,0.32142857142857145,0.4736842105263158
occupation,Tech-support,0.8490566037735849,0.8823529411764706,0.8653846153846154
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Not-in-family,0.9272727272727272,0.5425531914893617,0.6845637583892618
relationship,Wife,0.8208955223880597,0.7692307692307693,0.7942238267148015
relationship,Husband,0.8241758241758241,0.7692307692307693,0.7957559681697612
relationship,Unmarried,0.9565217391304348,0.4888888888888889,0.6470588235294117
relationship,Own-child,0.8333333333333334,0.29411764705882354,0.4347826086956522
relationship,Other-relative,1.0,1.0,1.0
race,White,0.8302642113690952,0.7261904761904762,0.7747478520732162
race,Black,0.8518518518518519,0.7076923076923077,0.7731092436974791
race,Other,1.0,1.0,1.0
race,Asian-Pac-Islander,0.896551724137931,0.8387096774193549,0.8666666666666666
race,Amer-Indian-Eskimo,1.0,0.6,0.7499999999999999
sex,Female,0.8514285714285714,0.6394849785407726,0.7303921568627452
sex,Male,0.8330550918196995,0.7458893871449925,0.7870662460567823
native-country,United-States,0.8270616493194556,0.7198606271777004,0.7697466467958272
native-country,Mexico,1.0,0.3333333333333333,0.5
native-country,Puerto-Rico,1.0,1.0,1.0
native-country,El-Salvador,1.0,1.0,1.0
native-country,?,0.92,0.7419354838709677,0.8214285714285714
native-country,Columbia,1.0,1.0,1.0
native-country,Poland,0.6666666666666666,1.0,0.8
native-country,Cambodia,1.0,1.0,1.0
native-country,Germany,1.0,0.8461538461538461,0.9166666666666666
native-country,Philippines,1.0,0.875,0.9333333333333333
native-country,Canada,0.8888888888888888,1.0,0.9411764705882353
native-country,Ecuador,1.0,1.0,1.0
native-country,Italy,0.8,1.0,0.888888888888889
native-country,Cuba,1.0,0.8,0.888888888888889
native-country,Iran,0.8,0.8,0.8000000000000002
native-country,Jamaica,0.0,1.0,0.0
native-country,Haiti,1.0,1.0,1.0
native-country,South,0.5,0.5,0.5
native-country,Taiwan,1.0,1.0,1.0
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Ireland,1.0,1.0,1.0
native-country,Japan,1.0,0.75,0.8571428571428571
native-country,Scotland,1.0,1.0,1.0
native-country,India,0.875,0.875,0.875
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,England,0.75,0.75,0.75
native-country,Laos,1.0,0.0,0.0
native-country,Hong,1.0,1.0,1.0
native-country,Greece,1.0,1.0,1.0
native-country,Portugal,1.0,1.0,1.0
native-country,Guatemala,1.0,1.0,1.0
native-country,China,1.0,1.0,1.0
native-country,France,1.0,1.0,1.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Vietnam,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Peru,1.0,0.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
